id,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1639.00,0.00,7.60,0.47,0.49,13.00,0.24,42.00,220.00,1.00,2.96,0.51,9.20,5.00
1640.00,0.00,7.90,0.22,0.49,3.80,0.04,26.00,105.00,0.99,3.10,0.39,10.50,5.00
1641.00,0.00,7.80,0.49,0.49,7.00,0.04,29.00,149.00,1.00,3.21,0.33,10.00,5.00
1642.00,0.00,6.40,0.22,0.49,7.50,0.05,42.00,151.00,0.99,3.27,0.52,10.10,6.00
1643.00,0.00,7.30,0.19,0.49,15.55,0.06,50.00,134.00,1.00,3.42,0.36,9.10,7.00
1644.00,0.00,8.10,0.30,0.49,12.30,0.05,50.00,144.00,1.00,3.09,0.57,10.20,7.00
1645.00,0.00,7.30,0.19,0.49,15.55,0.06,50.00,134.00,1.00,3.42,0.36,9.10,7.00
1646.00,0.00,7.50,0.24,0.49,9.40,0.05,50.00,149.00,1.00,3.17,0.59,10.50,7.00
1647.00,0.00,6.40,0.22,0.49,7.50,0.05,42.00,151.00,0.99,3.27,0.52,10.10,6.00
1648.00,0.00,7.80,0.21,0.49,1.20,0.04,20.00,99.00,0.99,3.05,0.28,12.10,7.00
1649.00,0.00,7.10,0.30,0.49,1.60,0.05,31.00,100.00,0.99,3.40,0.59,10.20,5.00
1650.00,0.00,6.90,0.26,0.49,1.60,0.06,39.00,166.00,1.00,3.65,0.52,9.40,4.00
1651.00,0.00,7.60,0.31,0.49,3.95,0.04,27.00,131.00,0.99,3.08,0.67,12.80,7.00
1652.00,0.00,6.40,0.42,0.74,12.80,0.08,48.00,209.00,1.00,3.12,0.58,9.00,6.00
1653.00,0.00,8.20,0.29,0.49,1.00,0.04,29.00,118.00,0.99,3.24,0.36,10.90,4.00
1654.00,0.00,7.90,0.33,0.28,31.60,0.05,35.00,176.00,1.00,3.15,0.38,8.80,6.00
1655.00,0.00,6.60,0.46,0.49,7.40,0.05,19.00,184.00,1.00,3.11,0.38,9.00,5.00
1656.00,0.00,7.80,0.28,0.49,1.30,0.05,27.00,142.00,0.99,3.09,0.59,10.20,5.00
1657.00,0.00,5.80,0.15,0.49,1.10,0.05,21.00,98.00,0.99,3.19,0.48,9.20,5.00
1658.00,0.00,7.80,0.40,0.49,7.80,0.06,34.00,162.00,1.00,3.26,0.58,11.30,6.00
1659.00,0.00,6.60,0.31,0.49,7.70,0.05,52.00,220.00,1.00,3.12,0.45,8.80,5.00
1660.00,0.00,6.60,0.33,0.49,7.70,0.05,53.00,217.00,1.00,3.16,0.40,9.30,5.00
1661.00,0.00,6.60,0.27,0.49,7.80,0.05,62.00,217.00,1.00,3.17,0.45,9.40,6.00
1662.00,0.00,6.70,0.26,0.49,8.30,0.05,54.00,191.00,1.00,3.23,0.40,10.30,6.00
1663.00,0.00,6.70,0.21,0.49,1.40,0.05,30.00,114.00,0.99,2.92,0.42,10.80,7.00
1664.00,0.00,7.90,0.33,0.28,31.60,0.05,35.00,176.00,1.00,3.15,0.38,8.80,6.00
1665.00,0.00,8.10,0.28,0.46,15.40,0.06,32.00,177.00,1.00,3.27,0.58,9.00,4.00
1666.00,0.00,6.50,0.13,0.37,1.00,0.04,48.00,114.00,0.99,3.41,0.51,11.50,8.00
1667.00,0.00,7.80,0.45,0.56,1.00,0.04,8.00,84.00,0.99,3.25,0.43,10.80,5.00
1668.00,0.00,8.80,0.39,0.34,5.90,0.06,33.00,128.00,0.99,2.95,0.51,11.80,6.00
1669.00,0.00,7.90,0.18,0.33,1.20,0.03,20.00,72.00,0.99,3.12,0.38,10.50,7.00
1670.00,0.00,7.10,0.31,0.38,1.20,0.04,10.00,124.00,0.99,3.14,0.44,9.90,6.00
1671.00,0.00,7.80,0.24,0.18,6.70,0.05,33.00,160.00,1.00,3.20,0.56,9.80,6.00
1672.00,0.00,7.00,0.35,0.30,6.50,0.03,27.00,87.00,0.99,3.40,0.42,11.40,7.00
1673.00,0.00,6.60,0.26,0.31,4.80,0.14,41.00,168.00,1.00,3.20,0.38,9.30,5.00
1674.00,0.00,6.60,0.27,0.31,5.30,0.14,35.00,163.00,1.00,3.20,0.38,9.30,5.00
1675.00,0.00,6.80,0.22,0.29,8.90,0.05,82.00,188.00,1.00,3.30,0.44,10.30,6.00
1676.00,0.00,6.20,0.27,0.32,8.80,0.05,65.00,224.00,1.00,3.17,0.47,8.90,5.00
1677.00,0.00,7.00,0.35,0.30,6.50,0.03,27.00,87.00,0.99,3.40,0.42,11.40,7.00
1678.00,0.00,7.30,0.23,0.37,1.80,0.03,60.00,156.00,0.99,3.11,0.35,11.10,6.00
1679.00,0.00,6.20,0.30,0.20,6.60,0.05,42.00,170.00,0.99,3.36,0.45,10.40,6.00
1680.00,0.00,6.40,0.35,0.20,5.70,0.03,18.00,117.00,0.99,3.33,0.43,10.10,5.00
1681.00,0.00,7.60,0.32,0.34,18.35,0.05,44.00,197.00,1.00,3.22,0.55,9.00,5.00
1682.00,0.00,6.30,0.31,0.30,10.00,0.05,49.00,212.00,1.00,3.74,0.55,11.90,6.00
1683.00,0.00,7.20,0.25,0.28,14.40,0.06,55.00,205.00,1.00,3.12,0.38,9.00,7.00
1684.00,0.00,7.20,0.25,0.28,14.40,0.06,55.00,205.00,1.00,3.12,0.38,9.00,7.00
1685.00,0.00,7.30,0.26,0.33,17.85,0.05,41.50,195.00,1.00,3.06,0.44,9.10,7.00
1686.00,0.00,7.20,0.25,0.28,14.40,0.06,55.00,205.00,1.00,3.12,0.38,9.00,7.00
1687.00,0.00,7.40,0.26,0.37,9.40,0.05,42.00,147.00,1.00,3.46,0.72,10.00,5.00
1688.00,0.00,7.30,0.26,0.33,17.85,0.05,41.50,195.00,1.00,3.06,0.44,9.10,7.00
1689.00,0.00,6.70,0.25,0.26,1.55,0.04,118.50,216.00,0.99,3.55,0.63,9.40,3.00
1690.00,0.00,7.10,0.16,0.25,1.30,0.03,28.00,123.00,0.99,3.27,0.55,11.40,6.00
1691.00,0.00,9.00,0.43,0.30,1.50,0.05,7.00,175.00,1.00,3.11,0.45,9.70,4.00
1692.00,0.00,7.20,0.25,0.28,14.40,0.06,55.00,205.00,1.00,3.12,0.38,9.00,7.00
1693.00,0.00,7.00,0.24,0.30,4.20,0.04,41.00,213.00,0.99,3.28,0.49,11.80,6.00
1694.00,0.00,6.70,0.27,0.22,8.60,0.05,54.00,198.00,1.00,3.25,0.41,10.20,5.00
1695.00,0.00,7.70,0.12,0.32,1.40,0.06,47.00,150.00,1.00,3.37,0.42,9.20,6.00
1696.00,0.00,7.20,0.21,0.33,3.00,0.04,35.00,132.00,0.99,3.25,0.40,11.00,6.00
1697.00,0.00,8.50,0.32,0.36,14.90,0.04,47.00,190.00,1.00,3.08,0.31,10.00,6.00
1698.00,0.00,6.90,0.18,0.30,2.00,0.04,39.00,190.00,0.99,3.32,0.37,12.20,6.00
1699.00,0.00,7.00,0.24,0.30,4.20,0.04,41.00,213.00,0.99,3.28,0.49,11.80,6.00
1700.00,0.00,6.30,0.26,0.29,2.20,0.04,35.00,175.00,0.99,3.38,0.43,11.60,6.00
1701.00,0.00,6.70,0.26,0.30,1.80,0.04,25.00,121.00,0.99,3.44,0.61,10.20,6.00
1702.00,0.00,7.90,0.29,0.36,11.10,0.03,43.00,208.00,1.00,3.14,0.46,10.30,5.00
1703.00,0.00,6.50,0.27,0.19,4.20,0.05,6.00,114.00,1.00,3.25,0.35,8.60,4.00
1704.00,0.00,6.70,0.33,0.42,6.40,0.06,27.00,151.00,1.00,3.16,0.44,9.60,5.00
1705.00,0.00,6.70,0.31,0.42,6.40,0.06,25.00,148.00,1.00,3.16,0.45,9.60,5.00
1706.00,0.00,6.60,0.25,0.31,1.50,0.04,32.00,127.00,0.99,3.41,0.47,11.30,6.00
1707.00,0.00,6.40,0.24,0.22,1.50,0.04,38.00,157.00,0.99,3.41,0.55,9.90,6.00
1708.00,0.00,6.80,0.26,0.29,16.95,0.06,48.00,179.00,1.00,3.45,0.40,9.60,5.00
1709.00,0.00,7.00,0.61,0.26,1.70,0.05,25.00,161.00,0.99,3.36,0.60,10.60,4.00
1710.00,0.00,6.80,0.22,0.30,13.60,0.06,50.00,180.00,1.00,3.44,0.39,9.80,5.00
1711.00,0.00,8.10,0.31,0.24,1.60,0.03,10.00,67.00,0.99,3.08,0.47,10.50,5.00
1712.00,0.00,7.00,0.20,0.30,6.10,0.04,31.00,120.00,0.99,3.24,0.51,10.80,5.00
1713.00,0.00,7.90,0.18,0.37,3.00,0.06,25.00,178.00,1.00,3.22,0.51,10.00,6.00
1714.00,0.00,6.60,0.34,0.27,6.20,0.06,23.00,136.00,1.00,3.30,0.49,10.10,6.00
1715.00,0.00,6.80,0.30,0.24,6.60,0.12,35.00,116.00,1.00,3.07,0.48,9.40,5.00
1716.00,0.00,6.50,0.18,0.34,1.60,0.04,43.00,148.00,0.99,3.32,0.59,11.50,8.00
1717.00,0.00,7.00,0.21,0.31,6.00,0.05,29.00,108.00,0.99,3.26,0.50,10.80,6.00
1718.00,0.00,6.80,0.27,0.32,1.50,0.04,19.00,142.00,0.99,3.10,0.43,9.90,6.00
1719.00,0.00,9.30,0.20,0.33,1.70,0.05,28.00,178.00,1.00,3.16,0.43,9.00,4.00
1720.00,0.00,5.80,0.23,0.27,1.80,0.04,24.00,69.00,0.99,3.38,0.31,9.40,6.00
1721.00,0.00,7.60,0.20,0.39,2.60,0.04,30.00,180.00,0.99,3.46,0.44,10.80,7.00
1722.00,0.00,8.20,0.15,0.48,2.70,0.05,24.00,190.00,1.00,3.50,0.45,10.90,7.00
1723.00,0.00,7.50,0.40,1.00,19.50,0.04,33.00,148.00,1.00,3.24,0.38,12.00,6.00
1724.00,0.00,6.50,0.18,0.34,1.60,0.04,43.00,148.00,0.99,3.32,0.59,11.50,8.00
1725.00,0.00,7.00,0.13,0.30,5.00,0.06,31.00,122.00,0.99,3.47,0.42,10.50,6.00
1726.00,0.00,6.90,0.17,0.22,4.60,0.06,55.00,152.00,1.00,3.29,0.37,9.30,6.00
1727.00,0.00,7.00,0.30,0.32,6.40,0.03,28.00,97.00,0.99,3.23,0.44,11.80,6.00
1728.00,0.00,7.60,0.45,0.44,14.50,0.05,68.00,212.00,1.00,3.48,0.36,10.00,6.00
1729.00,0.00,6.80,0.30,0.24,6.60,0.12,35.00,116.00,1.00,3.07,0.48,9.40,5.00
1730.00,0.00,7.50,0.22,0.33,6.70,0.04,45.00,138.00,0.99,3.20,0.68,11.40,6.00
1731.00,0.00,9.20,0.23,0.30,1.10,0.03,40.00,99.00,0.99,2.94,0.30,10.40,6.00
1732.00,0.00,8.70,0.34,0.46,13.80,0.06,68.00,198.00,1.00,3.36,0.37,9.50,6.00
1733.00,0.00,6.60,0.55,0.04,2.50,0.03,48.00,111.00,0.99,3.14,0.32,11.90,5.00
1734.00,0.00,8.10,0.30,0.31,1.10,0.04,49.00,123.00,0.99,2.99,0.45,11.10,6.00
1735.00,0.00,6.90,0.16,0.30,9.60,0.06,50.00,185.00,1.00,3.39,0.38,9.60,6.00
1736.00,0.00,8.00,0.32,0.36,4.60,0.04,56.00,178.00,0.99,3.29,0.47,12.00,6.00
1737.00,0.00,6.10,0.22,0.23,3.10,0.05,15.00,104.00,0.99,3.14,0.42,8.70,5.00
1738.00,0.00,6.90,0.16,0.30,9.60,0.06,50.00,185.00,1.00,3.39,0.38,9.60,6.00
1739.00,0.00,7.50,0.15,0.38,1.80,0.05,19.00,101.00,0.99,3.24,0.44,10.00,5.00
1740.00,0.00,8.40,0.29,0.29,1.05,0.03,4.00,55.00,0.99,2.91,0.32,11.40,4.00
1741.00,0.00,6.60,0.37,0.47,6.50,0.06,23.00,150.00,1.00,3.14,0.45,9.60,6.00
1742.00,0.00,7.70,0.38,0.40,2.00,0.04,28.00,152.00,0.99,3.18,0.32,12.90,6.00
1743.00,0.00,6.30,0.25,0.23,14.90,0.04,47.00,142.00,1.00,3.14,0.35,9.70,6.00
1744.00,0.00,8.30,0.30,0.36,10.00,0.04,33.00,169.00,1.00,3.23,0.51,9.30,6.00
1745.00,0.00,6.60,0.22,0.58,1.10,0.13,52.00,136.00,0.99,3.10,0.30,9.10,5.00
1746.00,0.00,6.10,0.34,0.31,12.00,0.05,46.00,238.00,1.00,3.16,0.48,8.60,5.00
1747.00,0.00,7.50,0.22,0.29,4.80,0.05,33.00,87.00,0.99,3.14,0.42,9.90,5.00
1748.00,0.00,8.30,0.30,0.36,10.00,0.04,33.00,169.00,1.00,3.23,0.51,9.30,6.00
1749.00,0.00,8.00,0.27,0.24,1.20,0.04,20.00,102.00,0.99,3.28,0.42,10.90,5.00
1750.00,0.00,6.10,0.17,0.27,1.50,0.06,45.00,135.00,0.99,3.20,0.43,10.20,6.00
1751.00,0.00,7.40,0.18,0.30,10.40,0.05,44.00,174.00,1.00,3.11,0.57,9.70,6.00
1752.00,0.00,6.70,0.16,0.28,2.50,0.05,40.00,153.00,0.99,3.38,0.51,11.40,7.00
1753.00,0.00,6.10,0.26,0.44,12.30,0.05,53.00,197.00,1.00,3.24,0.54,9.50,6.00
1754.00,0.00,7.40,0.23,0.25,1.40,0.05,43.00,141.00,0.99,3.42,0.54,10.20,7.00
1755.00,0.00,6.40,0.16,0.28,2.20,0.04,33.00,93.00,0.99,3.31,0.43,11.10,6.00
1756.00,0.00,6.30,0.25,0.23,14.90,0.04,47.00,142.00,1.00,3.14,0.35,9.70,6.00
1757.00,0.00,6.70,0.27,0.25,8.00,0.05,54.00,202.00,1.00,3.22,0.43,9.30,5.00
1758.00,0.00,6.90,0.29,0.23,8.60,0.06,56.00,215.00,1.00,3.17,0.44,8.80,5.00
1759.00,0.00,9.60,0.21,0.28,1.20,0.04,12.00,53.00,0.99,2.80,0.46,10.60,5.00
1760.00,0.00,6.60,0.62,0.20,8.70,0.05,81.00,224.00,1.00,3.17,0.44,9.30,5.00
1761.00,0.00,6.40,0.28,0.19,5.40,0.04,67.00,181.00,0.99,3.31,0.35,10.20,6.00
1762.00,0.00,8.00,0.30,0.28,5.70,0.04,31.00,124.00,0.99,3.16,0.51,10.20,6.00
1763.00,0.00,6.40,0.17,0.27,1.50,0.04,20.00,98.00,0.99,3.46,0.42,11.00,7.00
1764.00,0.00,7.30,0.21,0.30,10.90,0.04,18.00,112.00,1.00,3.40,0.50,9.60,6.00
1765.00,0.00,6.70,0.27,0.25,8.00,0.05,54.00,202.00,1.00,3.22,0.43,9.30,5.00
1766.00,0.00,6.90,0.29,0.23,8.60,0.06,56.00,215.00,1.00,3.17,0.44,8.80,5.00
1767.00,0.00,6.60,0.32,0.26,7.70,0.05,56.00,209.00,1.00,3.17,0.45,8.80,5.00
1768.00,0.00,7.40,0.32,0.22,1.70,0.05,50.00,179.00,1.00,3.28,0.69,8.90,5.00
1769.00,0.00,6.60,0.37,0.07,1.40,0.05,58.00,144.00,0.99,3.17,0.38,10.00,5.00
1770.00,0.00,7.70,0.43,0.28,4.50,0.05,33.00,102.00,0.99,3.16,0.56,12.20,7.00
1771.00,0.00,7.80,0.39,0.26,9.90,0.06,33.00,181.00,1.00,3.04,0.42,10.90,6.00
1772.00,0.00,6.50,0.18,0.26,1.40,0.04,40.00,141.00,0.99,3.34,0.72,9.50,6.00
1773.00,0.00,7.80,0.40,0.26,9.50,0.06,32.00,178.00,1.00,3.04,0.43,10.90,6.00
1774.00,0.00,7.80,0.39,0.26,9.90,0.06,33.00,181.00,1.00,3.04,0.42,10.90,6.00
1775.00,0.00,6.90,0.19,0.28,3.00,0.05,33.00,99.00,0.99,3.16,0.40,10.80,6.00
1776.00,0.00,7.70,0.49,1.00,19.60,0.03,28.00,135.00,1.00,3.24,0.40,12.00,6.00
1777.00,0.00,6.60,0.25,0.35,14.00,0.07,42.00,163.00,1.00,3.56,0.47,9.80,5.00
1778.00,0.00,6.50,0.18,0.26,1.40,0.04,40.00,141.00,0.99,3.34,0.72,9.50,6.00
1779.00,0.00,6.40,0.15,0.36,1.80,0.03,43.00,150.00,0.99,3.42,0.69,11.00,8.00
1780.00,0.00,6.40,0.15,0.36,1.80,0.03,43.00,150.00,0.99,3.42,0.69,11.00,8.00
1781.00,0.00,8.40,0.17,0.31,5.40,0.05,47.00,150.00,1.00,3.24,0.38,9.80,5.00
1782.00,0.00,6.10,0.32,0.37,1.80,0.05,13.00,200.00,0.99,3.49,0.44,10.50,4.00
1783.00,0.00,8.50,0.21,0.26,9.25,0.03,73.00,142.00,0.99,3.05,0.37,11.40,6.00
1784.00,0.00,8.70,0.45,0.40,1.50,0.07,17.00,100.00,1.00,3.27,0.57,10.10,6.00
1785.00,0.00,6.70,0.24,0.29,6.80,0.04,54.00,127.00,0.99,3.33,0.46,11.60,7.00
1786.00,0.00,8.50,0.21,0.26,9.25,0.03,73.00,142.00,0.99,3.05,0.37,11.40,6.00
1787.00,0.00,7.40,0.33,0.26,2.60,0.04,29.00,115.00,0.99,3.07,0.52,11.80,7.00
1788.00,0.00,7.20,0.26,0.30,2.10,0.03,50.00,158.00,0.99,3.33,0.43,12.10,7.00
1789.00,0.00,8.20,0.36,0.29,7.60,0.04,37.00,122.00,0.99,3.16,0.34,12.00,5.00
1790.00,0.00,7.80,0.20,0.24,1.60,0.03,26.00,189.00,0.99,3.08,0.74,12.10,7.00
1791.00,0.00,9.40,0.16,0.30,1.40,0.04,26.00,176.00,1.00,3.15,0.46,9.10,5.00
1792.00,0.00,6.40,0.33,0.24,1.60,0.05,25.00,117.00,0.99,3.36,0.50,9.30,5.00
1793.00,0.00,7.80,0.22,0.36,1.40,0.06,21.00,153.00,0.99,3.20,0.53,10.40,6.00
1794.00,0.00,7.40,0.35,0.31,17.95,0.06,42.00,187.00,1.00,3.27,0.64,9.10,5.00
1795.00,0.00,6.60,0.37,0.24,2.00,0.06,23.00,120.00,0.99,3.32,0.54,9.40,5.00
1796.00,0.00,6.70,0.37,0.41,6.30,0.06,22.00,149.00,1.00,3.16,0.47,9.60,6.00
1797.00,0.00,7.10,0.37,0.32,1.40,0.04,27.00,126.00,0.99,3.19,0.62,12.00,5.00
1798.00,0.00,6.90,0.25,0.27,9.05,0.04,37.00,128.00,0.99,3.27,0.34,11.30,8.00
1799.00,0.00,6.80,0.23,0.29,15.40,0.07,56.00,173.00,1.00,3.06,0.41,8.70,6.00
1800.00,0.00,6.40,0.26,0.21,7.10,0.04,35.00,162.00,1.00,3.39,0.58,9.90,6.00
1801.00,0.00,7.60,0.30,0.22,10.20,0.05,57.00,191.00,1.00,3.08,0.40,9.30,6.00
1802.00,0.00,9.40,0.16,0.23,1.60,0.04,14.00,67.00,0.99,3.07,0.32,9.50,5.00
1803.00,0.00,6.80,0.23,0.29,15.40,0.07,56.00,173.00,1.00,3.06,0.41,8.70,6.00
1804.00,0.00,6.40,0.26,0.21,7.10,0.04,35.00,162.00,1.00,3.39,0.58,9.90,6.00
1805.00,0.00,7.60,0.30,0.22,10.20,0.05,57.00,191.00,1.00,3.08,0.40,9.30,6.00
1806.00,0.00,7.50,0.33,0.39,12.40,0.07,29.00,119.00,1.00,3.16,0.39,9.40,5.00
1807.00,0.00,7.60,0.38,0.20,3.40,0.05,9.00,116.00,0.99,3.15,0.41,9.40,5.00
1808.00,0.00,8.80,0.20,0.43,15.00,0.05,60.00,184.00,1.00,3.28,0.79,8.80,6.00
1809.00,0.00,7.50,0.33,0.39,12.40,0.07,29.00,119.00,1.00,3.16,0.39,9.40,5.00
1810.00,0.00,8.80,0.20,0.43,15.00,0.05,60.00,184.00,1.00,3.28,0.79,8.80,6.00
1811.00,0.00,6.60,0.36,0.21,1.50,0.05,39.00,184.00,0.99,3.18,0.41,9.90,6.00
1812.00,0.00,7.60,0.38,0.20,3.40,0.05,9.00,116.00,0.99,3.15,0.41,9.40,5.00
1813.00,0.00,5.60,0.46,0.24,4.80,0.04,24.00,72.00,0.99,3.29,0.37,12.60,6.00
1814.00,0.00,7.20,0.15,0.38,1.20,0.04,18.00,110.00,0.99,3.19,0.43,11.10,6.00
1815.00,0.00,8.20,0.42,0.29,4.10,0.03,31.00,100.00,0.99,3.00,0.32,12.80,7.00
1816.00,0.00,6.80,0.30,0.35,2.80,0.04,10.00,164.00,0.99,3.09,0.53,12.00,6.00
1817.00,0.00,6.70,0.27,0.30,13.90,0.03,34.00,131.00,1.00,3.36,0.50,12.00,7.00
1818.00,0.00,7.20,0.50,0.00,0.80,0.03,46.00,114.00,0.99,3.19,0.34,9.20,4.00
1819.00,0.00,6.00,0.26,0.29,1.00,0.03,27.00,96.00,0.99,3.38,0.44,12.30,6.00
1820.00,0.00,6.80,0.33,0.28,1.20,0.03,38.00,131.00,0.99,3.19,0.41,13.00,6.00
1821.00,0.00,6.80,0.30,0.35,2.80,0.04,10.00,164.00,0.99,3.09,0.53,12.00,6.00
1822.00,0.00,7.40,0.29,0.31,1.70,0.04,23.00,110.00,0.99,3.07,0.38,10.90,5.00
1823.00,0.00,8.20,0.42,0.29,4.10,0.03,31.00,100.00,0.99,3.00,0.32,12.80,7.00
1824.00,0.00,7.30,0.19,0.24,6.30,0.05,34.00,231.00,1.00,3.36,0.54,10.00,6.00
1825.00,0.00,6.50,0.32,0.12,11.50,0.03,35.00,165.00,1.00,3.22,0.32,9.00,5.00
1826.00,0.00,7.10,0.32,0.40,1.50,0.03,13.00,84.00,0.99,3.42,0.60,10.40,5.00
1827.00,0.00,6.50,0.32,0.12,11.50,0.03,35.00,165.00,1.00,3.22,0.32,9.00,5.00
1828.00,0.00,7.30,0.19,0.24,6.30,0.05,34.00,231.00,1.00,3.36,0.54,10.00,6.00
1829.00,0.00,7.30,0.17,0.23,6.30,0.05,35.00,240.00,1.00,3.36,0.54,10.00,6.00
1830.00,0.00,7.70,0.44,0.24,11.20,0.03,41.00,167.00,0.99,3.12,0.43,11.30,7.00
1831.00,0.00,7.70,0.44,0.24,11.20,0.03,41.00,167.00,0.99,3.12,0.43,11.30,7.00
1832.00,0.00,7.40,0.49,0.24,15.10,0.03,34.00,153.00,1.00,3.13,0.51,12.00,7.00
1833.00,0.00,7.70,0.44,0.24,11.20,0.03,41.00,167.00,0.99,3.12,0.43,11.30,7.00
1834.00,0.00,7.40,0.49,0.24,15.10,0.03,34.00,153.00,1.00,3.13,0.51,12.00,7.00
1835.00,0.00,6.40,0.21,0.30,5.60,0.04,43.00,160.00,0.99,3.60,0.41,10.60,6.00
1836.00,0.00,8.00,0.55,0.42,12.60,0.21,37.00,213.00,1.00,2.99,0.56,9.30,5.00
1837.00,0.00,7.00,0.19,0.23,5.70,0.12,27.00,104.00,1.00,3.04,0.54,9.40,6.00
1838.00,0.00,7.20,0.24,0.29,2.20,0.04,37.00,102.00,0.99,3.27,0.64,11.00,7.00
1839.00,0.00,6.50,0.34,0.36,11.00,0.05,53.00,247.00,1.00,3.44,0.55,9.30,6.00
1840.00,0.00,7.00,0.19,0.23,5.70,0.12,27.00,104.00,1.00,3.04,0.54,9.40,6.00
1841.00,0.00,6.90,0.18,0.33,1.00,0.05,24.00,164.00,0.99,3.42,0.51,10.50,5.00
1842.00,0.00,7.20,0.24,0.29,2.20,0.04,37.00,102.00,0.99,3.27,0.64,11.00,7.00
1843.00,0.00,8.20,0.18,0.31,11.80,0.04,96.00,249.00,1.00,3.07,0.52,9.50,6.00
1844.00,0.00,8.30,0.28,0.45,7.80,0.06,32.00,139.00,1.00,3.33,0.77,11.20,6.00
1845.00,0.00,6.10,0.34,0.46,4.70,0.03,21.00,94.00,0.99,3.29,0.62,12.30,6.00
1846.00,0.00,7.40,0.44,0.20,11.50,0.05,44.00,157.00,1.00,3.27,0.44,9.00,5.00
1847.00,0.00,7.60,0.26,0.58,7.90,0.04,62.00,180.00,1.00,3.07,0.38,9.00,5.00
1848.00,0.00,7.40,0.44,0.20,11.50,0.05,44.00,157.00,1.00,3.27,0.44,9.00,5.00
1849.00,0.00,8.70,0.49,0.57,17.80,0.05,34.00,243.00,1.00,2.98,0.82,9.00,5.00
1850.00,0.00,7.00,0.24,0.25,1.70,0.04,48.00,189.00,0.99,3.25,0.42,11.40,6.00
1851.00,0.00,7.10,0.25,0.25,1.60,0.05,50.00,181.00,0.99,3.20,0.42,11.00,7.00
1852.00,0.00,6.10,0.34,0.46,4.70,0.03,21.00,94.00,0.99,3.29,0.62,12.30,6.00
1853.00,0.00,6.40,0.18,0.31,1.60,0.05,36.00,127.00,0.99,3.60,0.67,10.40,7.00
1854.00,0.00,8.30,0.27,0.39,2.40,0.06,16.00,107.00,1.00,3.28,0.59,10.30,5.00
1855.00,0.00,6.80,0.24,0.35,6.40,0.05,44.00,172.00,0.99,3.29,0.55,10.50,7.00
1856.00,0.00,8.00,0.22,0.28,14.00,0.05,83.00,197.00,1.00,3.14,0.45,9.80,6.00
1857.00,0.00,10.00,0.91,0.42,1.60,0.06,34.00,181.00,1.00,3.11,0.46,10.00,4.00
1858.00,0.00,8.90,0.34,0.34,1.60,0.06,13.00,176.00,0.99,3.14,0.47,9.70,5.00
1859.00,0.00,8.90,0.33,0.34,1.40,0.06,14.00,171.00,0.99,3.13,0.47,9.70,5.00
1860.00,0.00,8.00,0.22,0.28,14.00,0.05,83.00,197.00,1.00,3.14,0.45,9.80,6.00
1861.00,0.00,6.70,0.18,0.19,4.70,0.05,57.00,161.00,0.99,3.32,0.66,10.50,6.00
1862.00,0.00,7.80,0.20,0.28,10.20,0.05,78.00,186.00,1.00,3.14,0.46,10.00,6.00
1863.00,0.00,7.30,0.13,0.31,2.30,0.05,22.00,104.00,0.99,3.24,0.92,11.50,7.00
1864.00,0.00,6.60,0.28,0.30,7.80,0.05,57.00,202.00,1.00,3.24,0.39,9.50,5.00
1865.00,0.00,7.10,0.25,0.30,2.40,0.04,25.00,122.00,0.99,3.43,0.61,10.50,6.00
1866.00,0.00,7.60,0.36,0.44,8.30,0.26,28.00,142.00,1.00,3.12,0.43,10.20,6.00
1867.00,0.00,7.60,0.27,0.25,13.90,0.05,45.00,199.00,1.00,3.34,0.50,9.80,6.00
1868.00,0.00,6.90,0.37,0.28,13.80,0.03,34.00,137.00,0.99,3.10,0.37,11.60,6.00
1869.00,0.00,7.40,0.21,0.27,7.30,0.03,41.00,144.00,0.99,3.15,0.38,11.80,7.00
1870.00,0.00,8.20,0.18,0.28,8.50,0.04,41.00,140.00,1.00,3.04,0.37,10.10,7.00
1871.00,0.00,6.30,0.19,0.21,1.80,0.05,35.00,163.00,0.99,3.31,0.50,10.30,6.00
1872.00,0.00,7.00,0.21,0.22,5.10,0.05,38.00,168.00,0.99,3.34,0.49,10.40,6.00
1873.00,0.00,5.80,0.33,0.20,16.05,0.05,26.00,166.00,1.00,3.09,0.46,8.90,5.00
1874.00,0.00,5.80,0.33,0.20,16.05,0.05,26.00,166.00,1.00,3.09,0.46,8.90,5.00
1875.00,0.00,7.90,0.29,0.31,7.35,0.03,37.00,154.00,0.99,3.06,0.31,10.80,5.00
1876.00,0.00,6.60,0.31,0.38,16.05,0.06,16.00,165.00,1.00,3.38,0.60,9.20,5.00
1877.00,0.00,8.00,0.19,0.30,2.00,0.05,48.00,140.00,0.99,3.18,0.49,9.60,6.00
1878.00,0.00,8.00,0.20,0.36,1.20,0.03,21.00,78.00,0.99,3.08,0.37,10.40,6.00
1879.00,0.00,8.00,0.25,0.26,14.00,0.04,41.00,248.00,1.00,3.03,0.57,8.70,6.00
1880.00,0.00,7.20,0.20,0.61,16.20,0.04,14.00,103.00,1.00,3.06,0.36,9.20,6.00
1881.00,0.00,7.70,0.30,0.42,14.30,0.05,45.00,213.00,1.00,3.18,0.63,9.20,5.00
1882.00,0.00,7.20,0.20,0.61,16.20,0.04,14.00,103.00,1.00,3.06,0.36,9.20,6.00
